CHANGE_ANALYST,CHANGE_NO,CHANGE_DESCRITPION,REASON_FOR_CHANGE,CCB_SUBMIT_DATE
Sherry Nguyen,ECO-61423,"Proto: 711-173321 Assy, PCA, 43.2T BXF-based 54x 800G OSFP, PTX-Octomore: Update per the Affected Items Section.

1. 711-173321: Rev 08
-  Add: 560-188567, qty 1 to ""Prototype"" LC status
- Remove: 560-185061, qty 1

2. 560-185061: OBA 
- Move to ""Obsolete"" LC status

3. SCH-183443: Rev 03

4. 750-173322, 750-173325:
- Rev to Track.

5. 560-188567: 
- Change description From: Prog Dev, FLASH, FPGA Code, Teeling TIC FPGA, 3.0, PTX-Octomore
- To: Prog Dev, FLASH, FPGA Code, Teeling TIC FPGA, 0x25010617, PTX-Octomore

PDC Note: PDC will update the description before release of this ECO.",REV03 BOM Release.,00:39.0
Sunil H K,ECO-61438,"Prod: ECO to Change in CG BOM as below.

- Add JPN 740-186783 to CG_CBL-C13-NG-02, Quantity as 1.

- Move the JPN 740-186783 lifecycle from ""Preliminary"" to ""production"" lifecycle.

- Move the MPN lifecycle status as "" Active"" for JPN 740-186783

- Change the Product type code as ""41 - HW"" for 740-186783

PDC Note: Product type code will be updated post approval before ECO release.",Adding Taiwan country specific power cords to existing CG_CBL-C13-NG-02,50:27.0
Girija Amaragol,ECO-61441,"Preliminary_Bom: New optics for Plugfest 2025

Creating and releasing the following SKUs to Prelim BOM Lifecycle. Rev 0A:

SFP-1G-DT-ZRC2

Note::Refer attached product number key field validation report for ease of viewing product number attributes.",Internal Release per SST Request 0003047,52:43.0
Girija Amaragol,M38696,"NOTE: DO NOT RELEASE MCO TILL ROB Fontaine gives approval to release
Add Rob F into CCB 

Product Name(s): MX-Summit;EX-Summit : This mco is to update Claim Code FLAG as explained below:

Claim Code FLAG to be set to ""Yes""

Model Numbers
JNP204-CHAS
JNP204-CHAS-BB 

Set ""Claim Code FLAG"" flag to ""Yes"" in ""Product Number - Process Engineering"" section of Model cover pages.

Note:
PDC will update Claim Code FLAG upon approval before release this mco",Claim Code flag enablement on models for SAP data integrity checks.,37:14.0
Girija Amaragol,DEV-25298,"Inactive/Prod: This DEV is to allow FOXCONN-VIETNAM to use material with DC over 2 years to support production build based on good result of solderability test.

JPN 240-022681
Description: Osc, 155.52MHz, 20ppm, 45/55, 3.3V, diff LVPECL, OEH, Tri, SMT-6, 5x7mm
MPN: PBF550016
Supplier: DIODES, INC.
Site balance: PCG TRADING, LLC DBA CONVERGE (JNP HUB)
Total Qty to use: 30 pcs
DC: 2143",To allow FOXCONN-VIETNAM to use material with DC over 2 years to support production build based on good result of solderability test,46:54.0
Pooja Siraskar,DEV-25290,"Prod:This DEV is to allow FOXCONN-VIETNAM to use material with old DC to support production build based on good result of solderability test.

1. JPN 240-034503
Description: Osc, 25.000MHz, 50ppm, 45/55, 3.3V, CMOS, 15pF, OEH, Ind T, SMT-4, 5x7mm
MPN: VCC1-B3D-25M0000000
Supplier: MICROCHIP TECHNOLOGY
Total Qty to use: 489 pcs
DC: 2112

2. JPN 240-044911
Description: OSC, 100MHz, 100ppm, 45/55, 2.5V, diff LVPECL, OEH, Tri, I-temp, SMT-6, 5x7mm
MPN: VCC6-RCC-100M000000
Supplier: MICROCHIP TECHNOLOGY
Total Qty to use: 66 pcs (DC 2128) & 26 pcs (DC 2116)

3. JPN 240-084064
Description: OSC, 50MHz, 50ppm, 45/55, 3.3V,15pF, 0.1ps, CMOS, Ind-temp, OEH, SMT-6, 3.2x5mm
MPN: UX51500001
Supplier: DIODES, INC.
Total Qty to use: 1180 pcs (DC 2134) & 631 pcs (DC 2220)",To allow FOXCONN-VIETNAM to use material with old DC to support production build based on good result of solderability test,15:32.0
Girija Amaragol,DEV-24443,"Prod: The purpose of this Deviation is to allow FLEXTRONICS PENANG to make the following part substitutions for qualification purposes.

A. 230-073097->711-072984->750-087304->750-174927->JNP10K-LC1202
     230-073097->711-157121->750-157123->JNP10K-LC9600
- >Substitute JPN:230-073097 with KEMET MPN:MPCG1040LR45  as per PCN-MSA(PM)23-049-02 update from KEMET - change copper wires manufacture for Power Inductor.

B. Mfg. Partner to work request MFR free of charge samples that will be shipped to Mfg. Partner directly from MFR, Mfg. Partner shall copy Juniper GCM found in Agile under “Commodity Manager” field under the respective Qual JPN & CEs, found in Agile under “Component Engineer” and “Context Component Engineer” fields of the Qual JPN along with the DEV Originator on all samples related communication with MFRs.

C>. Factory Instructions:
  C1>. Qualification build: 
    Replace  JPN:230-073097 with KEMET  MPN:MPCG1040LR45  as per PCN-MSA(PM)23-049-02 on the following assembly:
   1. 230-073097->711-072984->750-087304->750-174927->JNP10K-LC1202 - Required Assy Qty 10 @ loc L380
   2. 230-073097->711-157121->750-157123->JNP10K-LC9600- Required Assy Qty 10 @ loc L16001,L16401
  
  C1B>. All Qual Assemblies need to go through full MFG test prior to DVT test at CM.
   1. 230-073097->711-072984->750-087304->750-174927->JNP10K-LC1202 - Required Assy Qty 10 @ loc L380
   2. 230-073097->711-157121->750-157123->JNP10K-LC9600- Required Assy Qty 10 @ loc L16001,L16401
   
C1C>. DVT Per PROC-8423 Test Plan, Tested at CM for:
         1. 230-073097->711-072984->750-087304->750-174927->JNP10K-LC1202 - Required Assy Qty 10 @ loc L380
        2. 230-073097->711-157121->750-157123->JNP10K-LC9600- Required Assy Qty 10 @ loc L16001,L16401

C1D>. power cycle test for 10 cycles at room temp with an off interval of 5 min b/w each cycle

C2>. Qualification samples will be only new build

C3>. Qualification units need to go through standard Manufacturing and Test processes with the following specific actions:

         - Install DEV-24443 label on all qual sample assemblies.
         - Record all serial numbers with DEV label and put on the NO SHIP list.         -
         - Send the product test yield reports as soon as all units have completed Mfg tests to CM-DVT-HTR-reports@juniper.net and the DEV Originator.  
         - Ensure email header subject line indicates the Qual DEV#, JPN, when shipped to Juniper testing.  

  C4>. After completion of DVT, prepare and review CM Test Report.
       Email results to CM-DVT-HTR alias CM-DVT-HTR-reports@juniper.net. and the DEV Originator.  
       Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#

D>.Completion / Closure
    The qualification units are not to be used for any other DVT or customer shipments until the qualification has been fully completed by Juniper, reports reviewed and an ECO/MCO has been signed off.

NOTE: SW test is not required",New AVL to be qualified: KEMET  MPN:MPCG1040LR45  as per PCN-MSA(PM)23-049-02 update from KEMET - change copper wires manufacture for Power Inductor.,55:39.0
Abel Alcantar,DEV-25125,"Proto: PTX-Ardbeg/PTX-Safe House 3 - Ardmore: Deviation requests Foxconn Nanning to ship 2 backing plates 760-181208 assembled with custom PEM nut: YSO4-106799, instead of SO4-3.5M3-4.21 called out in the drawing.

FMY is requested to assemble the two backing plates in P1C PTX-Ardbeg: 750-180688 and share fitment report to Juniper. These 2 units can be shipped to Juniper Bangalore as part of planned allocation. Deviation sticker to be pasted on the units for identification.",The custom PEM nut is being checked as improvement proposal to check if a stopper function can be added to the PEM nut to prevent screw protrusion out of backing plate. Due to any accidental use of an incorrect longer screw by FMY. Refer attachment Backing Plate protrusion.pdf,20:28.0
Pooja Siraskar,DEV-25309,"Prod:This Deviation instructs FMY to perform the following test screening for SRX4600 systems.

1. Take 5qty new production build and 7qty of systems from same WO# as the DOA units reported by Sojitz (SNs listed below). These boards need to go through the std Mfg tests until SW Test.
2. Before SW Test, install “JUNOS-64-22.4R3-S2.11"" shippable image onto the 12qty SRX4600 systems.
3. Perform screening test by executing following test instructions.
 jmtf -dut <tester_id> -fspec/nfs/home/leehk/HKLEE/hklee/SUMMIT/SRX4600_SHIPPABLE_REBOOT.xml -no_sw_check
4. Record system SNs and logfile and share the results to Juniper Mfg test team and PQE.
5. Only pass unit allowed to proceed to SW Test.
6. Units that fail screening test must be put on hold. Share failure details with Juniper and wait for further instructions
7. Use the first 3qty systems from the fresh production build that successfully pass the Mfg tests and DEV screening to ship DOA replacement to customer Sojitz (SO# 16372219_1000, 16372225_1000 and 16372232_1000).
8. Remaining 9qty systems that successfully pass the Mfg tests and DEV screening can be used for customer shipments.","Customer Sojitz reported 4qty DOA for SRX4600-AC failing boot up with fail symptom ""Major FPC 0 CBC FPGA Version Mismatch"" alarm.
performing additional test screen before shipping DOA replacement and replicate issue for Root cause analysis.",39:07.0
Girija Amaragol,M38329,"Pilot/production: MCO for MPN LC update from ""Hold"" to ""Active"": Update per the Affected Items Section & Part Object Attachments.

Promote below mentioned AVL part numbers from ""Hold"" to ""Active"" LC status for respective JPN's:

740-171275 => FELLER US CORP-GUNSELSDORF => 5262-224-0-4500
740-171277 => FELLER US CORP-GUNSELSDORF => 5266-224-0-4500
740-171278 => FELLER US CORP-GUNSELSDORF => 5267-224-0-4500
740-174308 => FELLER US CORP-GUNSELSDORF => 5241-224-0-2500
740-036168 => FELLER US CORP-GUNSELSDORF => 5222-221-0-2500

Renewed Certificates are attached under respective MPN attachment section",Renewed India certs are received from supplier and updated against respective MPNs,49:53.0
Girija Amaragol,M38610,"Proto: Optical Transceiver listed below completed testing and needs to change from COMP_IPQ state to ACTIVE.

SKU: QSFP-100G-ZR
JPN: 740-172665
MPN: FTLC3351S3PL1-J3",QSFP-100G-ZR (740-172665) needs to be in ACTIVE state.,17:56.0
Ranjith Soundarrajan,M38672,Production To move the Amphenol MPN 584990002 to Active Lifecycle status under the JPN 740-030077.,"MCO M38518 had been submitted for the MPN correction of 584990002 Rev. A  to 584990002 to align with the supplier MPN format.

The previous MPN 584990002 Rev. A was in Active LC status. After the implementation of name correction MCO, the new MPN remained in Comp_IPQ status, instead of Active status.

MCO M38672 is for changing the LC status of the new MPN to Active Lifecycle.",13:17.0
Ranjith Soundarrajan,M38767,"production:
1. Changing the Amphenol MPN to align with the supplier MPN format, based on the latest drawing shared by the supplier.

JPN                 Current MPNs                 New MPNs

740-030076       584990001 Rev. A           584990001
740-031838       584990006 Rev.A            584990006

2. To move the Amphenol MPN 584990001 & 584990006  to Active Lifecycle status under the JPN 740-030076 & 740-031838

3. Add the latest drawing & Label format under both MPN 584990001 & 584990006 level attachment. (Added under MCO attachment)


4. Keep the TRR as 0 - Low Risk :No identified Technical Risks.","1.The Amphenol MPN was wrongly added with a Rev.A, not included in the actual supplier MPN. The MCO is for the error correction and changing the LC of the corrected MPN to Active ( The MPN getting corrected is already Active)

2. MPN level attachment",46:19.0
Girija Amaragol,M38681,"Prod: QCS has provided PCNs to update label for adding BIS safety mark. 

Rolling up MPN rev of below QCS-MUMBAI MPNs to Active under respective JPNs.

    JPN           MPN
740-151173   DCJ22002-05 REV A
740-110419   DCJ22002-01 REV A
740-110865   DCJ22002-02 REV A

Move the existing MPN LC to Deplete and update Technical Risk Reason to 3- Other reasons"".

Only MPN level attachment update for following MPNs.

  JPN              MPN
740-134839   DCK4002-03_Rev:B (Active)
740-134837   DCJ4002-03 RevA (Active)
740-044332   DCJ6502-01 RevD (EOL_Notified)
740-041741   DCJ6502-02 RevD (EOL_Notified)

Note to PDC: PDC will update the Technical Risk Reason before releasing this MCO.",QCS issued PCN for adding BIS mark on Part label. MPN rev rolled up to REV A; MPN level attachments updated.,00:50.0
Pooja Siraskar,M38752,"Prod: MCO to update AVL as illustrated below

Adding Nefab Vietnam MPNs under respective JPNs to ""Active"" status

550-127941 => NEFAB VIETNAM => 550-127941
550-106313 => NEFAB VIETNAM => 550-106313",Adding Nefab Vietnam to the AVL as part of multi-sourcing,37:12.0
Prameela R,DEV-25306,"Proto: PTX-Octomore. 750-173945 Assy, TOP, RCB, Router Control Board, PTX-Octomore: This Deviation is to request Flextronics-Penang to perform the following changes in the P1C build.

Build Qty:23

Affected Assy#:711-173944 Assy, PCA, RCB, Router Control Board, PTX-Octomore 

Rework Instructions:
1) Remove top cover
2) Remove the DTP mezz board
3) Remove Resistor R78594
4) Install JPN: 220-055512 (Res, 0402, 12.1K Ohm) at location R78594.
5) Post rework, perform visual inspection & ensure no soldering-related issue.

Special Instructions:
- Paste the DEV-25306 label on the board.
- Record the serial nos",Upgrading the LCD module in the system requires a resistor rework on the current P1C RCB main boards that we have built to support this effort.,34:32.0
Abel Alcantar,DEV-25312,"Ptoto: 750-136652 Assy, Top, SIB-8, PTX-Aegon

The purpose of this deviation is to allow FMY to build Aegon SIB8 (750-136652) P2 build utilizing Timson manufactured Faceplates (760-163366), Qty 20.

750-136652 - Assy, Top, SIB-8, PTX-Aegon
760-163366 - Assy, Sub,  Face Plate, SIB8, PTX-Aegon

FMY to perform FFF and provide a report to Ken Allen (kallen@juniper.net), apply dev label.",The current supplier is not able to hold CTF dimensions. This is a design requirement to improve Quality.,29:33.0
Sherry Nguyen,DEV-25314,"Prod: 740-087003, Assy, OEM, DRAM, RDIMM, DDR4-2400, 16GB, 2Gx72, 1200MHz, Dual Rank, Registered, ECC, 288P, 1.2V, x4-based, C-Temp: The purpose of this Deviation is to allow Accton Taiwan to make the following part substitutions for qualification purposes.

A. Qual Assemblies:

 740-087003->650-092125->650-096240->NFX350-S2-AC; Required Assy Qty (5).

B. Sample Procurement Instructions:
Accton Taiwan to place PO based on quote with pricing and MOQ provided by appropriate Juniper GCM. Mfg Partner to contact Juniper GCM found in Agile under “Commodity Manager” field under the respective Qual JPN. In all emails to GCM, please also copy CEs, found in Agile under “Component Engineer” and “Context Component Engineer” fields of the Qual JPN along with the DEV Originator.

C. Factory Instructions:

C1>. Qualification build:
Replace JPN:740-070983, with INNODISK: M4RE-AGS1BCUN-GB553 in all locations on the following assembly:

 740-087003->650-092125->650-096240->NFX350-S2-AC; Required Assy Qty (5).

C1B>.  All Qual Assemblies need to go through full MFG test prior to DVT test at ODM.
 740-087003->650-092125->650-096240->NFX350-S2-AC; Required Test Qty (5).

C1C>.  DVT at ODM for:
 740-087003->650-092125->650-096240->NFX350-S2-AC; Required Test Qty (3).

C1D>. SW CERT at Juniper for:
 740-087003->650-092125->650-096240->NFX350-S2-AC; Required Test Qty (1).
 *NOTE:  See Special Instructions Section of DEV for shipping directions.

C2. Qualification boards can be new build or FGI.  

C3. Qualification units need to go through standard manufacturing and Test processes with the following specific actions:
- Install DEV-25314 on all qual sample assemblies.
- Record all serial numbers with DEV label and put on the NO SHIP list.
- Send the product test yield reports as soon as all units have completed Mfg tests to CM-DVT-HTR-reports@juniper.net, michaeln@juniper.net, and the DEV Originator.  
- Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

C4. The qualification assemblies shall be shipped to Juniper (see Special Instructions) as soon as the required number of units have passed Mfg Test, prior to DVT, if applicable.

C5. Perform DVT, as per the Accton Qual Plan.
Please email Accton Qual Plan to CM-DVT-HTR-reports@juniper.net, michaeln@juniper.net for Approval and copy DEV originator before performing DVT. After approval, CE will request PDC to upload Accton Qual plan to DEV Attachment.

C6. After completion of DVT, prepare and review HTR report with the Juniper On site TE team and then email to CM-DVT-HTR-reports@juniper.net, michaeln@juniper.net, and the DEV Originator. Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

D. Completion / Closure:
The qualification units are not to be used for any other DVT and customer shipments until the qualification has been fully completed by Juniper, reports reviewed and an ECO / MCO has been signed off.","Qualification of replacement memory modules due to Samsung announced EOL on the D1x node DDR4 DRAM, requested by PLM team (see attachment).",00:23.0
